Desc	Family ID	S_dalli	E_babai	V_penis	S_velum	T_virginea	A_californica	C_concholepas	H_cracherodii	D_sirenkoi	V_oligotropha	L_scabra	C_septemvalvis	S_philippinensis	N_pompilius	N_megatrapezata	L_anatina	S_atlantica	A_discrepans	P_vernedei	O_vulgaris
(null)	OG0000142	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000143	2	1	1	1	1	1	0	2	1	1	0	0	1	2	0	1	2	1	1	2
(null)	OG0000144	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000145	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000146	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	OG0000148	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000149	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000150	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000151	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000152	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000153	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000154	1	2	1	1	0	0	0	1	2	3	0	1	1	1	2	1	1	1	1	1
(null)	OG0000155	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
(null)	OG0000156	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
(null)	OG0000157	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000158	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000159	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000160	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000161	0	3	0	0	2	1	0	1	1	1	0	2	1	2	0	2	1	2	1	1
(null)	OG0000162	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	OG0000163	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000165	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000166	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000168	1	1	1	1	2	1	0	1	0	0	2	1	1	1	1	1	0	0	2	3
(null)	OG0000169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000170	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000171	2	0	1	1	3	4	3	1	0	0	2	0	0	0	0	0	0	0	2	1
(null)	OG0000172	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
(null)	OG0000173	1	0	1	1	1	1	1	1	1	1	1	1	0	2	1	1	2	1	1	1
(null)	OG0000174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000178	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000179	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000180	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000181	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000183	1	1	2	1	1	1	1	1	1	1	1	0	2	1	1	1	1	0	1	1
(null)	OG0000184	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000186	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000188	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000190	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000191	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000193	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000195	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000197	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
(null)	OG0000198	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1
(null)	OG0000202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000203	1	1	0	0	0	0	0	1	1	1	0	1	0	4	1	1	1	1	0	6
(null)	OG0000204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000205	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000206	1	0	1	2	1	1	1	4	0	0	1	0	2	2	1	0	2	0	0	1
(null)	OG0000207	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000210	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000211	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000212	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000213	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000214	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000216	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000219	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000220	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000221	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000223	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000242	1	1	0	1	1	1	1	1	1	2	1	1	0	3	1	1	1	1	0	1
(null)	OG0000243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000249	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000250	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000251	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000253	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000256	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000257	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000260	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000261	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000263	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000264	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000266	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
